#  rp   rf_high rf_low
0.11511 1.00377 0.85031
0.15123 0.94843 0.83145
0.19699 0.81132 0.69686
0.25551 0.77736 0.71195
0.33141 0.70440 0.62390
0.43170 0.68302 0.60503
0.55757 0.57736 0.50943
0.72320 0.63522 0.54717
0.93804 0.53711 0.47296
1.22190 0.45912 0.39497
1.57815 0.43019 0.33208
2.06450 0.32579 0.23899
2.64376 0.33585 0.26541
3.50303 0.31195 0.25283
4.50509 0.26289 0.16352

