#  rp   rf_high rf_low
0.11462 0.88050 0.73962
0.14930 0.90063 0.78239
0.19449 0.85283 0.78994
0.25119 0.85409 0.77862
0.32442 0.88176 0.78868
0.42080 0.79874 0.73459
0.54814 0.80881 0.73585
0.71097 0.76604 0.64906
0.92612 0.71950 0.55849
1.19613 0.62013 0.43774
1.55809 0.64025 0.26918
2.00379 0.76855 0.17107

