#  rp   rf_high rf_low
0.11659 0.79497 0.70063
0.15058 0.87296 0.75220
0.19532 0.75346 0.64151
0.25226 0.75346 0.70063
0.33000 0.75346 0.69308
0.42804 0.69937 0.64654
0.55757 0.56855 0.50692
0.71706 0.52830 0.47673
0.93008 0.50943 0.44906
1.20637 0.48805 0.41509
1.55809 0.39119 0.27044
2.02095 0.38491 0.31321
2.61016 0.46667 0.29434
3.38555 0.45031 0.35597
4.41006 0.44906 0.36981

