# z kT fraction_observed
4.500000000000000111e-01 4.000000000000000000e+01 7.589109010851643466e-01
5.000000000000000000e-01 4.000000000000000000e+01 7.403232968247049905e-01
5.500000000000000444e-01 4.000000000000000000e+01 7.228079862110927678e-01
6.000000000000000888e-01 4.000000000000000000e+01 7.062587623741566345e-01
6.500000000000000222e-01 4.000000000000000000e+01 6.907409674078286432e-01
8.000000000000000444e-01 4.000000000000000000e+01 6.494330152032792292e-01
9.000000000000000222e-01 4.000000000000000000e+01 6.249735637360095408e-01
1.000000000000000000e+00 4.000000000000000000e+01 6.026869654348316896e-01
1.100000000000000089e+00 4.000000000000000000e+01 5.824847223361598880e-01
1.199999999999999956e+00 4.000000000000000000e+01 5.642003409981874995e-01
1.399999999999999911e+00 4.000000000000000000e+01 5.315086731950010579e-01
1.600000000000000089e+00 4.000000000000000000e+01 5.034565913447265340e-01
0.000000000000000000e+00 5.000000000000000000e+01 1.000000000000000000e+00
5.000000000000000278e-02 5.000000000000000000e+01 9.627948103770748167e-01
1.000000000000000056e-01 5.000000000000000000e+01 9.295794714819194393e-01
1.500000000000000222e-01 5.000000000000000000e+01 8.988366728249990167e-01
2.000000000000000111e-01 5.000000000000000000e+01 8.700918481284473094e-01
2.500000000000000000e-01 5.000000000000000000e+01 8.433279975111860338e-01
3.000000000000000444e-01 5.000000000000000000e+01 8.184362366226083374e-01
3.500000000000000333e-01 5.000000000000000000e+01 7.955599205414718433e-01
4.000000000000000222e-01 5.000000000000000000e+01 7.744868635249579913e-01
4.500000000000000111e-01 5.000000000000000000e+01 7.546067954200144090e-01
5.000000000000000000e-01 5.000000000000000000e+01 7.357696050881703531e-01
5.500000000000000444e-01 5.000000000000000000e+01 7.179679252573294423e-01
6.000000000000000888e-01 5.000000000000000000e+01 7.011125359652444766e-01
6.500000000000000222e-01 5.000000000000000000e+01 6.852194051166455857e-01
8.000000000000000444e-01 5.000000000000000000e+01 6.431928737024653620e-01
9.000000000000000222e-01 5.000000000000000000e+01 6.184231568229232590e-01
1.000000000000000000e+00 5.000000000000000000e+01 5.957489763414716144e-01
1.100000000000000089e+00 5.000000000000000000e+01 5.750582632295817564e-01
1.199999999999999956e+00 5.000000000000000000e+01 5.563877967830203053e-01
1.399999999999999911e+00 5.000000000000000000e+01 5.233088592638827086e-01
1.600000000000000089e+00 5.000000000000000000e+01 4.946556410458813891e-01
