# z kT fraction_observed
0.000000000000000000e+00 2.500000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 2.500000000000000000e+00 9.814804920898040352e-01
1.000000000000000056e-01 2.500000000000000000e+00 9.720056136673752567e-01
1.500000000000000222e-01 2.500000000000000000e+00 9.644378612055981570e-01
2.000000000000000111e-01 2.500000000000000000e+00 9.563064416163682413e-01
2.500000000000000000e-01 2.500000000000000000e+00 9.470814326543981476e-01
3.000000000000000444e-01 2.500000000000000000e+00 9.416582864535182340e-01
3.500000000000000333e-01 2.500000000000000000e+00 9.396256200322172791e-01
4.000000000000000222e-01 2.500000000000000000e+00 9.362424532403783584e-01
4.500000000000000111e-01 2.500000000000000000e+00 9.335066539094485361e-01
5.000000000000000000e-01 2.500000000000000000e+00 9.312433856284371148e-01
5.500000000000000444e-01 2.500000000000000000e+00 9.304090903159313308e-01
6.000000000000000888e-01 2.500000000000000000e+00 9.274741507185800815e-01
6.500000000000000222e-01 2.500000000000000000e+00 9.275931895143133543e-01
8.000000000000000444e-01 2.500000000000000000e+00 9.290104233971154812e-01
9.000000000000000222e-01 2.500000000000000000e+00 9.335372658743094076e-01
1.000000000000000000e+00 2.500000000000000000e+00 9.382295037066370469e-01
1.100000000000000089e+00 2.500000000000000000e+00 9.539354138337438060e-01
1.199999999999999956e+00 2.500000000000000000e+00 9.769806479995514215e-01
1.399999999999999911e+00 2.500000000000000000e+00 1.034614820148102021e+00
1.600000000000000089e+00 2.500000000000000000e+00 1.063107686189155521e+00
0.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 3.000000000000000000e+00 9.793693975708319677e-01
1.000000000000000056e-01 3.000000000000000000e+00 9.665638489526928723e-01
1.500000000000000222e-01 3.000000000000000000e+00 9.556713304437437495e-01
2.000000000000000111e-01 3.000000000000000000e+00 9.447437080715562763e-01
2.500000000000000000e-01 3.000000000000000000e+00 9.339856160360417991e-01
3.000000000000000444e-01 3.000000000000000000e+00 9.256976832229845131e-01
3.500000000000000333e-01 3.000000000000000000e+00 9.197927175771469788e-01
4.000000000000000222e-01 3.000000000000000000e+00 9.137343691407715518e-01
4.500000000000000111e-01 3.000000000000000000e+00 9.084037721093745077e-01
5.000000000000000000e-01 3.000000000000000000e+00 9.035969467399230792e-01
5.500000000000000444e-01 3.000000000000000000e+00 9.001286180280607674e-01
6.000000000000000888e-01 3.000000000000000000e+00 8.952011753793539528e-01
6.500000000000000222e-01 3.000000000000000000e+00 8.925197943070952711e-01
8.000000000000000444e-01 3.000000000000000000e+00 8.862610329949828225e-01
9.000000000000000222e-01 3.000000000000000000e+00 8.852788499773023290e-01
1.000000000000000000e+00 3.000000000000000000e+00 8.841797636288175610e-01
1.100000000000000089e+00 3.000000000000000000e+00 8.903612379942029698e-01
1.199999999999999956e+00 3.000000000000000000e+00 9.013538601626207569e-01
1.399999999999999911e+00 3.000000000000000000e+00 9.350529135410829973e-01
1.600000000000000089e+00 3.000000000000000000e+00 9.497492986135851467e-01
0.000000000000000000e+00 3.500000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 3.500000000000000000e+00 9.775735286973363802e-01
1.000000000000000056e-01 3.500000000000000000e+00 9.622948672125132275e-01
1.500000000000000222e-01 3.500000000000000000e+00 9.487670249135529144e-01
2.000000000000000111e-01 3.500000000000000000e+00 9.353938288674275015e-01
2.500000000000000000e-01 3.500000000000000000e+00 9.231501209782351225e-01
3.000000000000000444e-01 3.500000000000000000e+00 9.128206707709796142e-01
3.500000000000000333e-01 3.500000000000000000e+00 9.041818959536170874e-01
4.000000000000000222e-01 3.500000000000000000e+00 8.958133484721122475e-01
4.500000000000000111e-01 3.500000000000000000e+00 8.883809021754294211e-01
5.000000000000000000e-01 3.500000000000000000e+00 8.816864373815846978e-01
5.500000000000000444e-01 3.500000000000000000e+00 8.762740022556898545e-01
6.000000000000000888e-01 3.500000000000000000e+00 8.697873513105703891e-01
6.500000000000000222e-01 3.500000000000000000e+00 8.649371108695939059e-01
8.000000000000000444e-01 3.500000000000000000e+00 8.530205094267903076e-01
9.000000000000000222e-01 3.500000000000000000e+00 8.480934938713918791e-01
1.000000000000000000e+00 3.500000000000000000e+00 8.433258666660400360e-01
1.100000000000000089e+00 3.500000000000000000e+00 8.436250645946640203e-01
1.199999999999999956e+00 3.500000000000000000e+00 8.474295365153319270e-01
1.399999999999999911e+00 3.500000000000000000e+00 8.659769969917954224e-01
1.600000000000000089e+00 3.500000000000000000e+00 8.715567651501240354e-01
0.000000000000000000e+00 4.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 4.000000000000000000e+00 9.762393799363758840e-01
1.000000000000000056e-01 4.000000000000000000e+00 9.587323094558786174e-01
1.500000000000000222e-01 4.000000000000000000e+00 9.434286218109776412e-01
2.000000000000000111e-01 4.000000000000000000e+00 9.286099030008987398e-01
2.500000000000000000e-01 4.000000000000000000e+00 9.149924887994935752e-01
3.000000000000000444e-01 4.000000000000000000e+00 9.029153865775513266e-01
3.500000000000000333e-01 4.000000000000000000e+00 8.925311472814355662e-01
4.000000000000000222e-01 4.000000000000000000e+00 8.827958676038477615e-01
4.500000000000000111e-01 4.000000000000000000e+00 8.739181174114547535e-01
5.000000000000000000e-01 4.000000000000000000e+00 8.656453943477256940e-01
5.500000000000000444e-01 4.000000000000000000e+00 8.586165569678999576e-01
6.000000000000000888e-01 4.000000000000000000e+00 8.510892799856396573e-01
6.500000000000000222e-01 4.000000000000000000e+00 8.450259377713982278e-01
8.000000000000000444e-01 4.000000000000000000e+00 8.288238917327717115e-01
9.000000000000000222e-01 4.000000000000000000e+00 8.211907576350722104e-01
1.000000000000000000e+00 4.000000000000000000e+00 8.142412500991966784e-01
1.100000000000000089e+00 4.000000000000000000e+00 8.108289531658666727e-01
1.199999999999999956e+00 4.000000000000000000e+00 8.104259707477851071e-01
1.399999999999999911e+00 4.000000000000000000e+00 8.193382428101411152e-01
1.600000000000000089e+00 4.000000000000000000e+00 8.191577676528862817e-01
0.000000000000000000e+00 4.500000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 4.500000000000000000e+00 9.751196033271085639e-01
1.000000000000000056e-01 4.500000000000000000e+00 9.557308417493887154e-01
1.500000000000000222e-01 4.500000000000000000e+00 9.387596498468944173e-01
2.000000000000000111e-01 4.500000000000000000e+00 9.226056237804114435e-01
2.500000000000000000e-01 4.500000000000000000e+00 9.078306960421960170e-01
3.000000000000000444e-01 4.500000000000000000e+00 8.943144710534280950e-01
3.500000000000000333e-01 4.500000000000000000e+00 8.824357042339603385e-01
4.000000000000000222e-01 4.500000000000000000e+00 8.714237269828187804e-01
4.500000000000000111e-01 4.500000000000000000e+00 8.613000052829953290e-01
5.000000000000000000e-01 4.500000000000000000e+00 8.517727331243275524e-01
5.500000000000000444e-01 4.500000000000000000e+00 8.434343689859004067e-01
6.000000000000000888e-01 4.500000000000000000e+00 8.349794067211122606e-01
