# z log_nh fraction_observed
3.500000000000000000e+00 2.200000000000000000e+01 2.335638302928739474e-01
3.500000000000000000e+00 2.250000000000000000e+01 1.004998109288356006e-01
3.500000000000000000e+00 2.300000000000000000e+01 7.099312120019550532e-02
3.500000000000000000e+00 2.350000000000000000e+01 7.046145132991699089e-02
3.500000000000000000e+00 2.400000000000000000e+01 7.046144328264973555e-02
3.500000000000000000e+00 2.450000000000000000e+01 7.046144328264973555e-02
3.500000000000000000e+00 2.500000000000000000e+01 7.046144328264973555e-02
3.500000000000000000e+00 2.550000000000000000e+01 7.046144328264973555e-02
3.500000000000000000e+00 2.600000000000000000e+01 7.046144328264973555e-02
4.000000000000000000e+00 2.000000000000000000e+01 8.908088655636685615e-01
4.000000000000000000e+00 2.050000000000000000e+01 8.401787693943058022e-01
4.000000000000000000e+00 2.100000000000000000e+01 7.115436281992810752e-01
4.000000000000000000e+00 2.150000000000000000e+01 4.810621270179567532e-01
4.000000000000000000e+00 2.200000000000000000e+01 2.475248870447640526e-01
4.000000000000000000e+00 2.250000000000000000e+01 1.106518256135677475e-01
4.000000000000000000e+00 2.300000000000000000e+01 7.998123005901316973e-02
4.000000000000000000e+00 2.350000000000000000e+01 7.940833145390900627e-02
4.000000000000000000e+00 2.400000000000000000e+01 7.940832209881608372e-02
4.000000000000000000e+00 2.450000000000000000e+01 7.940832209881608372e-02
4.000000000000000000e+00 2.500000000000000000e+01 7.940832209881608372e-02
4.000000000000000000e+00 2.550000000000000000e+01 7.940832209881608372e-02
4.000000000000000000e+00 2.600000000000000000e+01 7.940832209881608372e-02
4.500000000000000000e+00 2.000000000000000000e+01 9.218274945101985196e-01
4.500000000000000000e+00 2.050000000000000000e+01 8.701884837145918983e-01
4.500000000000000000e+00 2.100000000000000000e+01 7.388086389359264095e-01
4.500000000000000000e+00 2.150000000000000000e+01 5.026706427865368365e-01
4.500000000000000000e+00 2.200000000000000000e+01 2.625508719790226042e-01
4.500000000000000000e+00 2.250000000000000000e+01 1.213408586271186862e-01
4.500000000000000000e+00 2.300000000000000000e+01 8.925569958418724803e-02
4.500000000000000000e+00 2.350000000000000000e+01 8.864208081629949831e-02
4.500000000000000000e+00 2.400000000000000000e+01 8.864207030094777007e-02
4.500000000000000000e+00 2.450000000000000000e+01 8.864207030094777007e-02
4.500000000000000000e+00 2.500000000000000000e+01 8.864207030094777007e-02
4.500000000000000000e+00 2.550000000000000000e+01 8.864207030094777007e-02
4.500000000000000000e+00 2.600000000000000000e+01 8.864207030094777007e-02
5.000000000000000000e+00 2.000000000000000000e+01 9.559949718086617754e-01
5.000000000000000000e+00 2.050000000000000000e+01 9.031677338659021004e-01
5.000000000000000000e+00 2.100000000000000000e+01 7.686220990956665888e-01
5.000000000000000000e+00 2.150000000000000000e+01 5.262014923389881638e-01
5.000000000000000000e+00 2.200000000000000000e+01 2.788888267363100470e-01
5.000000000000000000e+00 2.250000000000000000e+01 1.326158795261546675e-01
5.000000000000000000e+00 2.300000000000000000e+01 9.892322226103700267e-02
5.000000000000000000e+00 2.350000000000000000e+01 9.826807140159835030e-02
5.000000000000000000e+00 2.400000000000000000e+01 9.826805976488708905e-02
5.000000000000000000e+00 2.450000000000000000e+01 9.826805976488708905e-02
5.000000000000000000e+00 2.500000000000000000e+01 9.826805976488708905e-02
5.000000000000000000e+00 2.550000000000000000e+01 9.826805976488708905e-02
5.000000000000000000e+00 2.600000000000000000e+01 9.826805976488708905e-02
5.500000000000000000e+00 2.000000000000000000e+01 9.937289812356248087e-01
5.500000000000000000e+00 2.050000000000000000e+01 9.395484311643115261e-01
5.500000000000000000e+00 2.100000000000000000e+01 8.014388998130149711e-01
5.500000000000000000e+00 2.150000000000000000e+01 5.520928533394979798e-01
5.500000000000000000e+00 2.200000000000000000e+01 2.968054610773567803e-01
5.500000000000000000e+00 2.250000000000000000e+01 1.445534387426221645e-01
5.500000000000000000e+00 2.300000000000000000e+01 1.090374497111457619e-01
5.500000000000000000e+00 2.350000000000000000e+01 1.083378744422003881e-01
5.500000000000000000e+00 2.400000000000000000e+01 1.083378616744297140e-01
5.500000000000000000e+00 2.450000000000000000e+01 1.083378616744297140e-01
5.500000000000000000e+00 2.500000000000000000e+01 1.083378616744297140e-01
5.500000000000000000e+00 2.550000000000000000e+01 1.083378616744297140e-01
5.500000000000000000e+00 2.600000000000000000e+01 1.083378616744297140e-01
6.000000000000000000e+00 2.000000000000000000e+01 1.034930547618178265e+00
6.000000000000000000e+00 2.050000000000000000e+01 9.792566418058638034e-01
6.000000000000000000e+00 2.100000000000000000e+01 8.372367699709167832e-01
6.000000000000000000e+00 2.150000000000000000e+01 5.803517867113078266e-01
6.000000000000000000e+00 2.200000000000000000e+01 3.162276157465799264e-01
6.000000000000000000e+00 2.250000000000000000e+01 1.571248831326511330e-01
6.000000000000000000e+00 2.300000000000000000e+01 1.195985885912195096e-01
6.000000000000000000e+00 2.350000000000000000e+01 1.188517093776780831e-01
6.000000000000000000e+00 2.400000000000000000e+01 1.188516954608899029e-01
6.000000000000000000e+00 2.450000000000000000e+01 1.188516954608899029e-01
6.000000000000000000e+00 2.500000000000000000e+01 1.188516954608899029e-01
6.000000000000000000e+00 2.550000000000000000e+01 1.188516954608899029e-01
6.000000000000000000e+00 2.600000000000000000e+01 1.188516954608899029e-01
