# z log_nh fraction_observed
1.000000000000000000e+00 2.200000000000000000e+01 1.122768997014004677e+00
1.000000000000000000e+00 2.250000000000000000e+01 9.570578614231299852e-01
1.000000000000000000e+00 2.300000000000000000e+01 6.739260474867276862e-01
1.000000000000000000e+00 2.350000000000000000e+01 3.575644909214950040e-01
1.000000000000000000e+00 2.400000000000000000e+01 1.068770265789485835e-01
1.000000000000000000e+00 2.450000000000000000e+01 4.124999972637573981e-02
1.000000000000000000e+00 2.500000000000000000e+01 3.998880129486150764e-02
1.000000000000000000e+00 2.550000000000000000e+01 3.998869667322054594e-02
1.000000000000000000e+00 2.600000000000000000e+01 3.998869667322054594e-02
1.500000000000000000e+00 2.000000000000000000e+01 1.372249332843185510e+00
1.500000000000000000e+00 2.050000000000000000e+01 1.369393557339050993e+00
1.500000000000000000e+00 2.100000000000000000e+01 1.360453496666646167e+00
1.500000000000000000e+00 2.150000000000000000e+01 1.333061380606728408e+00
1.500000000000000000e+00 2.200000000000000000e+01 1.254406913203534035e+00
1.500000000000000000e+00 2.250000000000000000e+01 1.083348805367288392e+00
1.500000000000000000e+00 2.300000000000000000e+01 7.832548282162951070e-01
1.500000000000000000e+00 2.350000000000000000e+01 4.345974623067557774e-01
1.500000000000000000e+00 2.400000000000000000e+01 1.380722296165045604e-01
1.500000000000000000e+00 2.450000000000000000e+01 5.279306377851993026e-02
1.500000000000000000e+00 2.500000000000000000e+01 5.103764997331682041e-02
1.500000000000000000e+00 2.550000000000000000e+01 5.103751700768074939e-02
1.500000000000000000e+00 2.600000000000000000e+01 5.103751700768074939e-02
2.000000000000000000e+00 2.000000000000000000e+01 1.493255838299599958e+00
2.000000000000000000e+00 2.050000000000000000e+01 1.490318644996544206e+00
2.000000000000000000e+00 2.100000000000000000e+01 1.481121103966015928e+00
2.000000000000000000e+00 2.150000000000000000e+01 1.452915108790741039e+00
2.000000000000000000e+00 2.200000000000000000e+01 1.371706606716661003e+00
2.000000000000000000e+00 2.250000000000000000e+01 1.193574600849991896e+00
2.000000000000000000e+00 2.300000000000000000e+01 8.757267651368417782e-01
2.000000000000000000e+00 2.350000000000000000e+01 4.948241133919530355e-01
2.000000000000000000e+00 2.400000000000000000e+01 1.629832365691794571e-01
2.000000000000000000e+00 2.450000000000000000e+01 6.446073742397530337e-02
2.000000000000000000e+00 2.500000000000000000e+01 6.239521382528186860e-02
2.000000000000000000e+00 2.550000000000000000e+01 6.239506845225949172e-02
2.000000000000000000e+00 2.600000000000000000e+01 6.239506845225949172e-02
2.500000000000000000e+00 2.000000000000000000e+01 1.598675368647969552e+00
2.500000000000000000e+00 2.050000000000000000e+01 1.595646815373607419e+00
2.500000000000000000e+00 2.100000000000000000e+01 1.586161245557227373e+00
2.500000000000000000e+00 2.150000000000000000e+01 1.557052961515548839e+00
2.500000000000000000e+00 2.200000000000000000e+01 1.473072747454347464e+00
2.500000000000000000e+00 2.250000000000000000e+01 1.287351955440273921e+00
2.500000000000000000e+00 2.300000000000000000e+01 9.506776609623410756e-01
2.500000000000000000e+00 2.350000000000000000e+01 5.404351096668107424e-01
2.500000000000000000e+00 2.400000000000000000e+01 1.833186434156459099e-01
2.500000000000000000e+00 2.450000000000000000e+01 7.635483565769564385e-02
2.500000000000000000e+00 2.500000000000000000e+01 7.408137760985852860e-02
2.500000000000000000e+00 2.550000000000000000e+01 7.408122927652406597e-02
2.500000000000000000e+00 2.600000000000000000e+01 7.408122927652406597e-02
3.000000000000000000e+00 2.000000000000000000e+01 1.693983896063296912e+00
3.000000000000000000e+00 2.050000000000000000e+01 1.690826427776035423e+00
3.000000000000000000e+00 2.100000000000000000e+01 1.680935008146571041e+00
3.000000000000000000e+00 2.150000000000000000e+01 1.650561533354359955e+00
3.000000000000000000e+00 2.200000000000000000e+01 1.562759955168602222e+00
3.000000000000000000e+00 2.250000000000000000e+01 1.367014974335593047e+00
3.000000000000000000e+00 2.300000000000000000e+01 1.009615493989426627e+00
3.000000000000000000e+00 2.350000000000000000e+01 5.744464411575248564e-01
3.000000000000000000e+00 2.400000000000000000e+01 2.004215789106010837e-01
3.000000000000000000e+00 2.450000000000000000e+01 8.840146243772203927e-02
3.000000000000000000e+00 2.500000000000000000e+01 8.601622333985609048e-02
3.000000000000000000e+00 2.550000000000000000e+01 8.601607719132414731e-02
3.000000000000000000e+00 2.600000000000000000e+01 8.601607719132414731e-02
3.500000000000000000e+00 2.000000000000000000e+01 1.775103472195978194e+00
3.500000000000000000e+00 2.050000000000000000e+01 1.771799715067064129e+00
3.500000000000000000e+00 2.100000000000000000e+01 1.761448787190754928e+00
3.500000000000000000e+00 2.150000000000000000e+01 1.729652597429480076e+00
3.500000000000000000e+00 2.200000000000000000e+01 1.637639647383596797e+00
3.500000000000000000e+00 2.250000000000000000e+01 1.431321937592235916e+00
3.500000000000000000e+00 2.300000000000000000e+01 1.054316152521502570e+00
3.500000000000000000e+00 2.350000000000000000e+01 5.992463371188637700e-01
3.500000000000000000e+00 2.400000000000000000e+01 2.148287009534569081e-01
3.500000000000000000e+00 2.450000000000000000e+01 1.004516904664888716e-01
3.500000000000000000e+00 2.500000000000000000e+01 9.807044703445158551e-02
3.500000000000000000e+00 2.550000000000000000e+01 9.807030617701441300e-02
3.500000000000000000e+00 2.600000000000000000e+01 9.807030617701441300e-02
4.000000000000000000e+00 2.000000000000000000e+01 1.848440388437072146e+00
4.000000000000000000e+00 2.050000000000000000e+01 1.844974794309590216e+00
4.000000000000000000e+00 2.100000000000000000e+01 1.834116234880944551e+00
4.000000000000000000e+00 2.150000000000000000e+01 1.800755300348903853e+00
4.000000000000000000e+00 2.200000000000000000e+01 1.704171776710140529e+00
4.000000000000000000e+00 2.250000000000000000e+01 1.486769849182313585e+00
4.000000000000000000e+00 2.300000000000000000e+01 1.090808035026286538e+00
4.000000000000000000e+00 2.350000000000000000e+01 6.191402820184612743e-01
4.000000000000000000e+00 2.400000000000000000e+01 2.281640198487874804e-01
4.000000000000000000e+00 2.450000000000000000e+01 1.128782866326224349e-01
4.000000000000000000e+00 2.500000000000000000e+01 1.105229692705219507e-01
4.000000000000000000e+00 2.550000000000000000e+01 1.105228348785677328e-01
4.000000000000000000e+00 2.600000000000000000e+01 1.105228348785677328e-01
4.500000000000000000e+00 2.000000000000000000e+01 1.914372777578912332e+00
4.500000000000000000e+00 2.050000000000000000e+01 1.910735693951826741e+00
4.500000000000000000e+00 2.100000000000000000e+01 1.899339816094751665e+00
4.500000000000000000e+00 2.150000000000000000e+01 1.864328235497102249e+00
4.500000000000000000e+00 2.200000000000000000e+01 1.762972792272504252e+00
4.500000000000000000e+00 2.250000000000000000e+01 1.534313205581580908e+00
4.500000000000000000e+00 2.300000000000000000e+01 1.120479689447702265e+00
4.500000000000000000e+00 2.350000000000000000e+01 6.356110051549044293e-01
4.500000000000000000e+00 2.400000000000000000e+01 2.411846990935291590e-01
4.500000000000000000e+00 2.450000000000000000e+01 1.257103061981888203e-01
4.500000000000000000e+00 2.500000000000000000e+01 1.233747645295737994e-01
4.500000000000000000e+00 2.550000000000000000e+01 1.233746368167139840e-01
4.500000000000000000e+00 2.600000000000000000e+01 1.233746368167139840e-01
5.000000000000000000e+00 2.000000000000000000e+01 1.975186791932808772e+00
5.000000000000000000e+00 2.050000000000000000e+01 1.971370404067547932e+00
5.000000000000000000e+00 2.100000000000000000e+01 1.959413203389287483e+00
5.000000000000000000e+00 2.150000000000000000e+01 1.922681878214675066e+00
5.000000000000000000e+00 2.200000000000000000e+01 1.816395909940434983e+00
5.000000000000000000e+00 2.250000000000000000e+01 1.576374293345003563e+00
5.000000000000000000e+00 2.300000000000000000e+01 1.145638312985140850e+00
5.000000000000000000e+00 2.350000000000000000e+01 6.501456731816999124e-01
5.000000000000000000e+00 2.400000000000000000e+01 2.542311447418496018e-01
5.000000000000000000e+00 2.450000000000000000e+01 1.390744223693639037e-01
5.000000000000000000e+00 2.500000000000000000e+01 1.367724927940332791e-01
5.000000000000000000e+00 2.550000000000000000e+01 1.367723716629669906e-01
5.000000000000000000e+00 2.600000000000000000e+01 1.367723716629669906e-01
5.500000000000000000e+00 2.000000000000000000e+01 2.032248669559658438e+00
5.500000000000000000e+00 2.050000000000000000e+01 2.028249261736647657e+00
5.500000000000000000e+00 2.100000000000000000e+01 2.015719488720147279e+00
5.500000000000000000e+00 2.150000000000000000e+01 1.977237535789831524e+00
5.500000000000000000e+00 2.200000000000000000e+01 1.865964501090023209e+00
5.500000000000000000e+00 2.250000000000000000e+01 1.614673285196618568e+00
5.500000000000000000e+00 2.300000000000000000e+01 1.168041604778645493e+00
5.500000000000000000e+00 2.350000000000000000e+01 6.636126085692379828e-01
5.500000000000000000e+00 2.400000000000000000e+01 2.671367510319719307e-01
5.500000000000000000e+00 2.450000000000000000e+01 1.530215229319217829e-01
5.500000000000000000e+00 2.500000000000000000e+01 1.507879325740889009e-01
5.500000000000000000e+00 2.550000000000000000e+01 1.507878177055531066e-01
5.500000000000000000e+00 2.600000000000000000e+01 1.507878177055531066e-01
6.000000000000000000e+00 2.000000000000000000e+01 2.085804059606960248e+00
6.000000000000000000e+00 2.050000000000000000e+01 2.081622237176104395e+00
6.000000000000000000e+00 2.100000000000000000e+01 2.068522095932346705e+00
6.000000000000000000e+00 2.150000000000000000e+01 2.028299306956382608e+00
6.000000000000000000e+00 2.200000000000000000e+01 1.912094382170636209e+00
6.000000000000000000e+00 2.250000000000000000e+01 1.649850446658134295e+00
6.000000000000000000e+00 2.300000000000000000e+01 1.188480811138490356e+00
6.000000000000000000e+00 2.350000000000000000e+01 6.768859821705826008e-01
6.000000000000000000e+00 2.400000000000000000e+01 2.809158670717662454e-01
6.000000000000000000e+00 2.450000000000000000e+01 1.676318768193119091e-01
6.000000000000000000e+00 2.500000000000000000e+01 1.654213892781731532e-01
6.000000000000000000e+00 2.550000000000000000e+01 1.654212803554205302e-01
6.000000000000000000e+00 2.600000000000000000e+01 1.654212803554205302e-01
